mapping_barcode	sample_group	read_origin	bin_left_pa	bin_right_pa	bin_mid_pa	n_reads	percent_of_all_callable
bc05	MHV-wt	MHV-mapped	-15.0	-14.75	-14.875	0	0.0
bc05	MHV-wt	MHV-mapped	-14.75	-14.5	-14.625	0	0.0
bc05	MHV-wt	MHV-mapped	-14.5	-14.25	-14.375	0	0.0
bc05	MHV-wt	MHV-mapped	-14.25	-14.0	-14.125	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-14.0	-13.75	-13.875	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-13.75	-13.5	-13.625	0	0.0
bc05	MHV-wt	MHV-mapped	-13.5	-13.25	-13.375	0	0.0
bc05	MHV-wt	MHV-mapped	-13.25	-13.0	-13.125	0	0.0
bc05	MHV-wt	MHV-mapped	-13.0	-12.75	-12.875	5	0.05336179295624333
bc05	MHV-wt	MHV-mapped	-12.75	-12.5	-12.625	0	0.0
bc05	MHV-wt	MHV-mapped	-12.5	-12.25	-12.375	0	0.0
bc05	MHV-wt	MHV-mapped	-12.25	-12.0	-12.125	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-12.0	-11.75	-11.875	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-11.75	-11.5	-11.625	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-11.5	-11.25	-11.375	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-11.25	-11.0	-11.125	2	0.021344717182497332
bc05	MHV-wt	MHV-mapped	-11.0	-10.75	-10.875	4	0.042689434364994665
bc05	MHV-wt	MHV-mapped	-10.75	-10.5	-10.625	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-10.5	-10.25	-10.375	2	0.021344717182497332
bc05	MHV-wt	MHV-mapped	-10.25	-10.0	-10.125	2	0.021344717182497332
bc05	MHV-wt	MHV-mapped	-10.0	-9.75	-9.875	3	0.032017075773746
bc05	MHV-wt	MHV-mapped	-9.75	-9.5	-9.625	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	-9.5	-9.25	-9.375	7	0.07470651013874066
bc05	MHV-wt	MHV-mapped	-9.25	-9.0	-9.125	6	0.064034151547492
bc05	MHV-wt	MHV-mapped	-9.0	-8.75	-8.875	7	0.07470651013874066
bc05	MHV-wt	MHV-mapped	-8.75	-8.5	-8.625	12	0.128068303094984
bc05	MHV-wt	MHV-mapped	-8.5	-8.25	-8.375	13	0.13874066168623264
bc05	MHV-wt	MHV-mapped	-8.25	-8.0	-8.125	14	0.14941302027748132
bc05	MHV-wt	MHV-mapped	-8.0	-7.75	-7.875	22	0.23479188900747067
bc05	MHV-wt	MHV-mapped	-7.75	-7.5	-7.625	16	0.17075773745997866
bc05	MHV-wt	MHV-mapped	-7.5	-7.25	-7.375	29	0.30949839914621136
bc05	MHV-wt	MHV-mapped	-7.25	-7.0	-7.125	26	0.2774813233724653
bc05	MHV-wt	MHV-mapped	-7.0	-6.75	-6.875	41	0.4375667022411953
bc05	MHV-wt	MHV-mapped	-6.75	-6.5	-6.625	41	0.4375667022411953
bc05	MHV-wt	MHV-mapped	-6.5	-6.25	-6.375	44	0.46958377801494133
bc05	MHV-wt	MHV-mapped	-6.25	-6.0	-6.125	60	0.6403415154749199
bc05	MHV-wt	MHV-mapped	-6.0	-5.75	-5.875	65	0.6937033084311632
bc05	MHV-wt	MHV-mapped	-5.75	-5.5	-5.625	74	0.7897545357524013
bc05	MHV-wt	MHV-mapped	-5.5	-5.25	-5.375	91	0.9711846318036286
bc05	MHV-wt	MHV-mapped	-5.25	-5.0	-5.125	120	1.2806830309498398
bc05	MHV-wt	MHV-mapped	-5.0	-4.75	-4.875	126	1.344717182497332
bc05	MHV-wt	MHV-mapped	-4.75	-4.5	-4.625	136	1.4514407684098185
bc05	MHV-wt	MHV-mapped	-4.5	-4.25	-4.375	167	1.7822838847385274
bc05	MHV-wt	MHV-mapped	-4.25	-4.0	-4.125	153	1.632870864461046
bc05	MHV-wt	MHV-mapped	-4.0	-3.75	-3.875	187	1.9957310565635007
bc05	MHV-wt	MHV-mapped	-3.75	-3.5	-3.625	188	2.006403415154749
bc05	MHV-wt	MHV-mapped	-3.5	-3.25	-3.375	193	2.0597652081109925
bc05	MHV-wt	MHV-mapped	-3.25	-3.0	-3.125	214	2.2838847385272145
bc05	MHV-wt	MHV-mapped	-3.0	-2.75	-2.875	240	2.5613660618996796
bc05	MHV-wt	MHV-mapped	-2.75	-2.5	-2.625	223	2.3799359658484525
bc05	MHV-wt	MHV-mapped	-2.5	-2.25	-2.375	244	2.6040554962646745
bc05	MHV-wt	MHV-mapped	-2.25	-2.0	-2.125	234	2.497331910352188
bc05	MHV-wt	MHV-mapped	-2.0	-1.75	-1.875	263	2.806830309498399
bc05	MHV-wt	MHV-mapped	-1.75	-1.5	-1.625	242	2.582710779082177
bc05	MHV-wt	MHV-mapped	-1.5	-1.25	-1.375	252	2.689434364994664
bc05	MHV-wt	MHV-mapped	-1.25	-1.0	-1.125	286	3.0522945570971185
bc05	MHV-wt	MHV-mapped	-1.0	-0.75	-0.875	215	2.2945570971184632
bc05	MHV-wt	MHV-mapped	-0.75	-0.5	-0.625	252	2.689434364994664
bc05	MHV-wt	MHV-mapped	-0.5	-0.25	-0.375	283	3.0202774813233724
bc05	MHV-wt	MHV-mapped	-0.25	0.0	-0.125	265	2.8281750266808965
bc05	MHV-wt	MHV-mapped	0.0	0.25	0.125	243	2.5933831376734258
bc05	MHV-wt	MHV-mapped	0.25	0.5	0.375	283	3.0202774813233724
bc05	MHV-wt	MHV-mapped	0.5	0.75	0.625	233	2.486659551760939
bc05	MHV-wt	MHV-mapped	0.75	1.0	0.875	236	2.5186766275346852
bc05	MHV-wt	MHV-mapped	1.0	1.25	1.125	239	2.550693703308431
bc05	MHV-wt	MHV-mapped	1.25	1.5	1.375	230	2.454642475987193
bc05	MHV-wt	MHV-mapped	1.5	1.75	1.625	255	2.72145144076841
bc05	MHV-wt	MHV-mapped	1.75	2.0	1.875	216	2.305229455709712
bc05	MHV-wt	MHV-mapped	2.0	2.25	2.125	210	2.2411953041622197
bc05	MHV-wt	MHV-mapped	2.25	2.5	2.375	197	2.102454642475987
bc05	MHV-wt	MHV-mapped	2.5	2.75	2.625	185	1.9743863393810033
bc05	MHV-wt	MHV-mapped	2.75	3.0	2.875	200	2.134471718249733
bc05	MHV-wt	MHV-mapped	3.0	3.25	3.125	185	1.9743863393810033
bc05	MHV-wt	MHV-mapped	3.25	3.5	3.375	152	1.6221985058697972
bc05	MHV-wt	MHV-mapped	3.5	3.75	3.625	174	1.8569903948772677
bc05	MHV-wt	MHV-mapped	3.75	4.0	3.875	126	1.344717182497332
bc05	MHV-wt	MHV-mapped	4.0	4.25	4.125	115	1.2273212379935965
bc05	MHV-wt	MHV-mapped	4.25	4.5	4.375	126	1.344717182497332
bc05	MHV-wt	MHV-mapped	4.5	4.75	4.625	102	1.088580576307364
bc05	MHV-wt	MHV-mapped	4.75	5.0	4.875	99	1.056563500533618
bc05	MHV-wt	MHV-mapped	5.0	5.25	5.125	81	0.8644610458911419
bc05	MHV-wt	MHV-mapped	5.25	5.5	5.375	74	0.7897545357524013
bc05	MHV-wt	MHV-mapped	5.5	5.75	5.625	61	0.6510138740661686
bc05	MHV-wt	MHV-mapped	5.75	6.0	5.875	53	0.5656350053361794
bc05	MHV-wt	MHV-mapped	6.0	6.25	6.125	35	0.3735325506937033
bc05	MHV-wt	MHV-mapped	6.25	6.5	6.375	35	0.3735325506937033
bc05	MHV-wt	MHV-mapped	6.5	6.75	6.625	32	0.3415154749199573
bc05	MHV-wt	MHV-mapped	6.75	7.0	6.875	24	0.256136606189968
bc05	MHV-wt	MHV-mapped	7.0	7.25	7.125	13	0.13874066168623264
bc05	MHV-wt	MHV-mapped	7.25	7.5	7.375	11	0.11739594450373533
bc05	MHV-wt	MHV-mapped	7.5	7.75	7.625	16	0.17075773745997866
bc05	MHV-wt	MHV-mapped	7.75	8.0	7.875	12	0.128068303094984
bc05	MHV-wt	MHV-mapped	8.0	8.25	8.125	8	0.08537886872998933
bc05	MHV-wt	MHV-mapped	8.25	8.5	8.375	3	0.032017075773746
bc05	MHV-wt	MHV-mapped	8.5	8.75	8.625	4	0.042689434364994665
bc05	MHV-wt	MHV-mapped	8.75	9.0	8.875	6	0.064034151547492
bc05	MHV-wt	MHV-mapped	9.0	9.25	9.125	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	9.25	9.5	9.375	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	9.5	9.75	9.625	5	0.05336179295624333
bc05	MHV-wt	MHV-mapped	9.75	10.0	9.875	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	10.0	10.25	10.125	0	0.0
bc05	MHV-wt	MHV-mapped	10.25	10.5	10.375	2	0.021344717182497332
bc05	MHV-wt	MHV-mapped	10.5	10.75	10.625	0	0.0
bc05	MHV-wt	MHV-mapped	10.75	11.0	10.875	0	0.0
bc05	MHV-wt	MHV-mapped	11.0	11.25	11.125	2	0.021344717182497332
bc05	MHV-wt	MHV-mapped	11.25	11.5	11.375	0	0.0
bc05	MHV-wt	MHV-mapped	11.5	11.75	11.625	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	11.75	12.0	11.875	0	0.0
bc05	MHV-wt	MHV-mapped	12.0	12.25	12.125	0	0.0
bc05	MHV-wt	MHV-mapped	12.25	12.5	12.375	1	0.010672358591248666
bc05	MHV-wt	MHV-mapped	12.5	12.75	12.625	0	0.0
bc05	MHV-wt	MHV-mapped	12.75	13.0	12.875	0	0.0
bc05	MHV-wt	MHV-mapped	13.0	13.25	13.125	0	0.0
