sample_group	mapping_barcode	sgrna_primary_assignment	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable	gene_label
MHV-mut	bc07	sgRNA4_ORF4	313	245	0.7827476038338658	38	207	0.1551020408163265	0.1151345805407269	0.2057181390948097	0.121405750798722	2.608673095703125	ORF4
MHV-mut	bc07	sgRNA5_ORF5_E	146	110	0.7534246575342466	15	95	0.1363636363636363	0.0844115644499007	0.2128567521305822	0.1027397260273972	2.6927566528320312	ORF5/E
MHV-mut	bc07	sgRNA6_M	541	393	0.7264325323475046	61	332	0.1552162849872773	0.1227706907736765	0.1943369501332514	0.1127541589648798	2.6358184814453125	M
MHV-mut	bc07	sgRNA7_N	2269	1686	0.743058616130454	281	1405	0.1666666666666666	0.149639440740282	0.1852094031362217	0.1238431026884089	2.624958038330078	N
MHV-mut	bc11	sgRNA4_ORF4	240	183	0.7625	35	148	0.1912568306010929	0.1408554438665899	0.2543537312638476	0.1458333333333333	2.63580322265625	ORF4
MHV-mut	bc11	sgRNA5_ORF5_E	144	104	0.7222222222222222	14	90	0.1346153846153846	0.081911170765792	0.213350588198692	0.0972222222222222	2.220916748046875	ORF5/E
MHV-mut	bc11	sgRNA6_M	544	420	0.7720588235294118	53	367	0.1261904761904762	0.0977842753846198	0.1613726724192109	0.0974264705882353	2.5164756774902344	M
MHV-mut	bc11	sgRNA7_N	3087	2301	0.7453838678328474	318	1983	0.1382007822685788	0.1247017069181661	0.1529058727146987	0.1030126336248785	2.5653228759765625	N
MHV-wt	bc05	sgRNA4_ORF4	127	93	0.7322834645669292	10	83	0.1075268817204301	0.0594630702319099	0.1867275500977316	0.0787401574803149	2.1151351928710938	ORF4
MHV-wt	bc05	sgRNA5_ORF5_E	74	59	0.7972972972972973	3	56	0.0508474576271186	0.01744271747299	0.139165022152769	0.0405405405405405	2.00665283203125	ORF5/E
MHV-wt	bc05	sgRNA6_M	239	192	0.803347280334728	24	168	0.125	0.085456717888824	0.1792546416612415	0.100418410041841	2.2452964782714844	M
MHV-wt	bc05	sgRNA7_N	1327	993	0.7483044461190655	103	890	0.1037260825780463	0.0862639044888686	0.1242424473124955	0.0776186887716654	2.332061767578125	N
MHV-wt	bc06	sgRNA4_ORF4	312	237	0.7596153846153846	29	208	0.1223628691983122	0.0865631439068305	0.1702093367263104	0.0929487179487179	2.4622573852539062	ORF4
MHV-wt	bc06	sgRNA5_ORF5_E	131	91	0.6946564885496184	10	81	0.1098901098901098	0.0607947302126849	0.1905875146109469	0.0763358778625954	2.012115478515625	ORF5/E
MHV-wt	bc06	sgRNA6_M	518	383	0.7393822393822393	51	332	0.1331592689295039	0.1027505959569248	0.1708536323575821	0.0984555984555984	2.30499267578125	M
MHV-wt	bc06	sgRNA7_N	2414	1795	0.7435791217895609	241	1554	0.1342618384401114	0.1192684291530738	0.1508173287875996	0.0998342999171499	2.1531219482421875	N
