sample_group	score_threshold_pa	fraction_at_or_above	n_callable
MHV-wt	0.0	1.0	19169
MHV-wt	0.025	0.9945224059679691	19169
MHV-wt	0.05	0.988262298502791	19169
MHV-wt	0.07500000000000001	0.9830455422818092	19169
MHV-wt	0.1	0.9761594240701132	19169
MHV-wt	0.125	0.9707861651625019	19169
MHV-wt	0.15000000000000002	0.9661432521258282	19169
MHV-wt	0.17500000000000002	0.9608743283426365	19169
MHV-wt	0.2	0.9555532369972352	19169
MHV-wt	0.225	0.9505451510250926	19169
MHV-wt	0.25	0.9457457353017893	19169
MHV-wt	0.275	0.940685481767437	19169
MHV-wt	0.30000000000000004	0.9344775418644686	19169
MHV-wt	0.325	0.9290521153946476	19169
MHV-wt	0.35000000000000003	0.9218008242474829	19169
MHV-wt	0.375	0.914914706035787	19169
MHV-wt	0.4	0.9101152903124837	19169
MHV-wt	0.42500000000000004	0.9033856747874172	19169
MHV-wt	0.45	0.8986905941885336	19169
MHV-wt	0.47500000000000003	0.8906567896082216	19169
MHV-wt	0.5	0.8843445145808336	19169
MHV-wt	0.525	0.8794407637331108	19169
MHV-wt	0.55	0.8745370128853879	19169
MHV-wt	0.5750000000000001	0.8684855756690489	19169
MHV-wt	0.6000000000000001	0.863894830194585	19169
MHV-wt	0.625	0.856174030987532	19169
MHV-wt	0.65	0.8510616098909698	19169
MHV-wt	0.675	0.845010172674631	19169
MHV-wt	0.7000000000000001	0.8391674057071313	19169
MHV-wt	0.7250000000000001	0.8348896656059263	19169
MHV-wt	0.75	0.8294120715738954	19169
MHV-wt	0.775	0.8249778287860609	19169
MHV-wt	0.8	0.8193958996296103	19169
MHV-wt	0.8250000000000001	0.8136574677865304	19169
MHV-wt	0.8500000000000001	0.8085450466899682	19169
MHV-wt	0.875	0.802858782409098	19169
MHV-wt	0.9	0.7979550315613751	19169
MHV-wt	0.925	0.7923209348427148	19169
MHV-wt	0.9500000000000001	0.786530335437425	19169
MHV-wt	0.9750000000000001	0.7825656007094789	19169
MHV-wt	1.0	0.7767228337419793	19169
MHV-wt	1.0250000000000001	0.7715060775209974	19169
MHV-wt	1.05	0.7660284834889666	19169
MHV-wt	1.075	0.7595075382127393	19169
MHV-wt	1.1	0.7536647712452397	19169
MHV-wt	1.125	0.7479263394021597	19169
MHV-wt	1.1500000000000001	0.7417705670614012	19169
MHV-wt	1.175	0.7367624810892587	19169
MHV-wt	1.2000000000000002	0.7313370546194377	19169
MHV-wt	1.225	0.7275288225781209	19169
MHV-wt	1.25	0.7212687151129428	19169
MHV-wt	1.2750000000000001	0.7155302832698628	19169
MHV-wt	1.3	0.7111482080442381	19169
MHV-wt	1.3250000000000002	0.7055662788877876	19169
MHV-wt	1.35	0.7007146956022745	19169
MHV-wt	1.375	0.6957587771923418	19169
MHV-wt	1.4000000000000001	0.690281183160311	19169
MHV-wt	1.425	0.6853774323125881	19169
MHV-wt	1.4500000000000002	0.6793259950962491	19169
MHV-wt	1.475	0.6751525901194637	19169
MHV-wt	1.5	0.6687881475298659	19169
MHV-wt	1.5250000000000001	0.6633105534978351	19169
MHV-wt	1.55	0.6584068026501122	19169
MHV-wt	1.5750000000000002	0.6528248734936617	19169
MHV-wt	1.6	0.6471386092127915	19169
MHV-wt	1.625	0.6425478637383275	19169
MHV-wt	1.6500000000000001	0.6373311075173457	19169
MHV-wt	1.675	0.6324273566696228	19169
MHV-wt	1.7000000000000002	0.6264280870154938	19169
MHV-wt	1.725	0.6207939902968335	19169
MHV-wt	1.75	0.61604674213574	19169
MHV-wt	1.7750000000000001	0.6098388022327716	19169
MHV-wt	1.8	0.6060827377536647	19169
MHV-wt	1.8250000000000002	0.6007094788460535	19169
MHV-wt	1.85	0.5953883875006521	19169
MHV-wt	1.875	0.5897542907819917	19169
MHV-wt	1.9000000000000001	0.5846418696854296	19169
MHV-wt	1.925	0.5803641295842246	19169
MHV-wt	1.9500000000000002	0.5745735301789348	19169
MHV-wt	1.975	0.5681569200271271	19169
MHV-wt	2.0	0.5639313474881319	19169
MHV-wt	2.025	0.5587145912671501	19169
MHV-wt	2.0500000000000003	0.5545933538525745	19169
MHV-wt	2.075	0.5496374354426418	19169
MHV-wt	2.1	0.543272992853044	19169
MHV-wt	2.125	0.5394125932495174	19169
MHV-wt	2.15	0.5341958370285357	19169
MHV-wt	2.1750000000000003	0.5287704105587145	19169
MHV-wt	2.2	0.5248056758307684	19169
MHV-wt	2.225	0.520058427669675	19169
MHV-wt	2.25	0.5163545307527779	19169
MHV-wt	2.275	0.510616098909698	19169
MHV-wt	2.3000000000000003	0.5053471751265063	19169
MHV-wt	2.325	0.5016432782096093	19169
MHV-wt	2.35	0.4964786895508373	19169
MHV-wt	2.375	0.4918879440763733	19169
MHV-wt	2.4000000000000004	0.487401533726329	19169
MHV-wt	2.4250000000000003	0.48181960456987843	19169
MHV-wt	2.45	0.47832437790182064	19169
MHV-wt	2.475	0.47373363242735667	19169
MHV-wt	2.5	0.470760081381397	19169
MHV-wt	2.5250000000000004	0.4665345088424018	19169
MHV-wt	2.5500000000000003	0.46236110386561635	19169
MHV-wt	2.575	0.45803119620220145	19169
MHV-wt	2.6	0.4530231102300589	19169
MHV-wt	2.625	0.44832802963117535	19169
MHV-wt	2.6500000000000004	0.4435807814700819	19169
MHV-wt	2.6750000000000003	0.439250873806667	19169
MHV-wt	2.7	0.43549480932756013	19169
MHV-wt	2.725	0.4312692367885649	19169
MHV-wt	2.75	0.42693932912515	19169
MHV-wt	2.7750000000000004	0.42354843758151184	19169
MHV-wt	2.8000000000000003	0.41869685429599873	19169
MHV-wt	2.825	0.4145234493192133	19169
MHV-wt	2.85	0.40935886066044136	19169
MHV-wt	2.875	0.40482028274818715	19169
MHV-wt	2.9000000000000004	0.4005947102091919	19169
MHV-wt	2.9250000000000003	0.3967864781678752	19169
MHV-wt	2.95	0.39282174343992904	19169
MHV-wt	2.975	0.3882831655276749	19169
MHV-wt	3.0	0.38379675517763057	19169
MHV-wt	3.0250000000000004	0.3803015285095728	19169
MHV-wt	3.0500000000000003	0.3758672857217382	19169
MHV-wt	3.075	0.3717460483071626	19169
MHV-wt	3.1	0.3679378162658459	19169
MHV-wt	3.125	0.3632427356669623	19169
MHV-wt	3.1500000000000004	0.3597996765611143	19169
MHV-wt	3.1750000000000003	0.35583494183316816	19169
MHV-wt	3.2	0.35119202879649436	19169
MHV-wt	3.225	0.3475402994418071	19169
MHV-wt	3.25	0.34310605665397254	19169
MHV-wt	3.2750000000000004	0.3389326516771871	19169
MHV-wt	3.3000000000000003	0.3348114142626115	19169
MHV-wt	3.325	0.3304815065991966	19169
MHV-wt	3.35	0.3279252960509155	19169
MHV-wt	3.375	0.3245865720694872	19169
MHV-wt	3.4000000000000004	0.32093484271479994	19169
MHV-wt	3.4250000000000003	0.31723094579790284	19169
MHV-wt	3.45	0.3136835515676352	19169
MHV-wt	3.475	0.31086650320830506	19169
MHV-wt	3.5	0.30674526579372946	19169
MHV-wt	3.5250000000000004	0.30272836350357346	19169
MHV-wt	3.5500000000000003	0.29923313683551567	19169
MHV-wt	3.575	0.29521623454535967	19169
MHV-wt	3.6	0.2922426834994001	19169
MHV-wt	3.625	0.2879127758359852	19169
