cutoff_pa	sample_group	mapping_barcode	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable	barcode_order
3.0	MHV-wt	bc05	11405	9370	0.8215694870670759	3644	5726	0.3889007470651013	0.3790773665195635	0.3988151859471885	0.3195089872862779	2.380928039550781	0
3.0	MHV-wt	bc06	12182	9799	0.8043835166639304	3713	6086	0.3789162159404021	0.3693602857296866	0.3885670448337642	0.3047939582991298	2.277862548828125	1
3.0	MHV-mut	bc07	17284	14061	0.813526961351539	6111	7950	0.4346063580115212	0.4264319308521757	0.4428165064384785	0.3535639898171719	2.6141357421875	2
3.0	MHV-mut	bc11	44029	36569	0.8305662177201389	15850	20719	0.4334272197763132	0.4283554826556426	0.4385129419516643	0.3599900065865679	2.6249771118164062	3
5.0	MHV-wt	bc05	11405	9370	0.8215694870670759	1201	8169	0.1281750266808964	0.1215585399529482	0.135096265805135	0.1053046909250328	2.380928039550781	0
5.0	MHV-wt	bc06	12182	9799	0.8043835166639304	1415	8384	0.1444024900500051	0.1375822869434992	0.1515013905519452	0.1161549827614513	2.277862548828125	1
5.0	MHV-mut	bc07	17284	14061	0.813526961351539	2441	11620	0.1736007396344498	0.1674295829619942	0.1799501918563391	0.1412288822031937	2.6141357421875	2
5.0	MHV-mut	bc11	44029	36569	0.8305662177201389	5722	30847	0.1564713281741365	0.1527838674196613	0.160230954568136	0.1299597992232392	2.6249771118164062	3
7.0	MHV-wt	bc05	11405	9370	0.8215694870670759	270	9100	0.0288153681963714	0.0256164527437395	0.0324004724634757	0.0236738272687417	2.380928039550781	0
7.0	MHV-wt	bc06	12182	9799	0.8043835166639304	386	9413	0.0393917746708847	0.0357172721670762	0.0434272760825115	0.0316860942373994	2.277862548828125	1
7.0	MHV-mut	bc07	17284	14061	0.813526961351539	578	13483	0.041106606926961	0.0379484327033377	0.0445154516011174	0.0334413330247627	2.6141357421875	2
7.0	MHV-mut	bc11	44029	36569	0.8305662177201389	1238	35331	0.0338538106046104	0.0320486203123468	0.035756925002279	0.0281178314292852	2.6249771118164062	3
