sample_group	mapping_barcode	read_origin	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable	pooled_reference_pa	fixed_cutoff_pa
MHV-mut	bc07	MHV_mapped	17284	14061	0.813526961351539	2441	11620	0.17360073963444989	0.16742958296199428	0.17995019185633915	0.1412288822031937	2.6141357421875	-10.190704345703125	5.0
MHV-mut	bc07	host_mapped	11143	8520	0.7646055819797182	1821	6699	0.21373239436619718	0.20515781585736564	0.2225649986076878	0.16342098178228484	2.860881805419922	-10.190704345703125	5.0
MHV-mut	bc11	MHV_mapped	44029	36569	0.8305662177201389	5722	30847	0.15647132817413656	0.15278386741966135	0.160230954568136	0.12995979922323922	2.6249771118164062	-10.190704345703125	5.0
MHV-mut	bc11	host_mapped	28087	22083	0.7862356250222523	4153	17930	0.18806321604854412	0.1829637785831209	0.1932711608632362	0.14786200021362195	2.7442474365234375	-10.190704345703125	5.0
MHV-wt	bc05	MHV_mapped	11405	9370	0.8215694870670759	1201	8169	0.12817502668089648	0.12155853995294827	0.13509626580513504	0.10530469092503288	2.3809280395507812	-10.190704345703125	5.0
MHV-wt	bc05	host_mapped	10557	8281	0.7844084493700862	1328	6953	0.1603671054220505	0.15262153654061095	0.16842763163493912	0.12579331249407977	2.473114013671875	-10.190704345703125	5.0
MHV-wt	bc06	MHV_mapped	12182	9799	0.8043835166639304	1415	8384	0.1444024900500051	0.13758228694349922	0.15150139055194523	0.11615498276145132	2.277862548828125	-10.190704345703125	5.0
MHV-wt	bc06	host_mapped	12878	9700	0.7532225500854169	1632	8068	0.16824742268041237	0.16093460330972845	0.17582290377528884	0.12672775275663922	2.432415008544922	-10.190704345703125	5.0
mock	bc04	MHV_mapped	1506	1270	0.8432934926958832	183	1087	0.14409448818897638	0.12585260505336657	0.16448294358161705	0.12151394422310757	2.4568099975585938	-10.190704345703125	5.0
mock	bc04	host_mapped	20044	15272	0.7619237677110358	3508	11764	0.22970141435306443	0.22309856357371752	0.23644021062370926	0.17501496707244063	2.8581466674804688	-10.190704345703125	5.0
