sample_group	mapping_barcode	sgrna_primary_assignment	terminal_nona_direct_class	n_reads	polya_nt_n	polya_nt_median	polya_nt_q25	polya_nt_q75	read_nt_n	read_nt_median	read_nt_q25	read_nt_q75
MHV-mut	bc07	sgRNA3_S	A_junction_like	2	2	56.6809375	52.18915525	61.17271975	2	7369.0	7363.5	7374.5
MHV-mut	bc07	sgRNA4_ORF4	A_junction_like	207	207	56.0	45.543481	65.2901105	207	3419.0	3375.0	3449.5
MHV-mut	bc07	sgRNA4_ORF4	terminal_junction_nonA_like	38	38	52.120802499999996	42.62985475	64.0	38	3411.0	3372.75	3451.75
MHV-mut	bc07	sgRNA5_ORF5_E	A_junction_like	95	95	54.219522	42.2875515	63.9617595	95	3037.0	2991.5	3070.5
MHV-mut	bc07	sgRNA5_ORF5_E	terminal_junction_nonA_like	15	15	54.230438	45.204113	66.47403600000001	15	2999.0	2986.0	3065.0
MHV-mut	bc07	sgRNA6_M	A_junction_like	332	332	53.965159	42.72636275	65.0	332	2386.5	2355.0	2429.25
MHV-mut	bc07	sgRNA6_M	terminal_junction_nonA_like	61	61	48.776516	37.363304	62.289998	61	2365.0	2355.0	2417.0
MHV-mut	bc07	sgRNA7_N	A_junction_like	1405	1405	47.012729	36.724394	58.284496	1405	1679.0	1659.0	1733.0
MHV-mut	bc07	sgRNA7_N	terminal_junction_nonA_like	281	281	46.0	35.253412	58.0	281	1673.0	1660.0	1730.0
MHV-mut	bc11	sgRNA3_S	A_junction_like	8	8	72.0	65.0	82.0	8	7467.0	7448.0	7488.25
MHV-mut	bc11	sgRNA4_ORF4	A_junction_like	148	148	64.0	55.0	75.25	148	3466.0	3449.0	3479.0
MHV-mut	bc11	sgRNA4_ORF4	terminal_junction_nonA_like	35	35	63.0	55.5	72.0	35	3465.0	3442.5	3481.0
MHV-mut	bc11	sgRNA5_ORF5_E	A_junction_like	90	90	64.0	53.0	74.0	90	3086.0	3062.75	3097.75
MHV-mut	bc11	sgRNA5_ORF5_E	terminal_junction_nonA_like	14	14	56.5	46.70384475	67.75	14	3093.0	3074.25	3101.25
MHV-mut	bc11	sgRNA6_M	A_junction_like	367	367	59.844818	49.373205999999996	71.995666	367	2451.0	2431.0	2464.0
MHV-mut	bc11	sgRNA6_M	terminal_junction_nonA_like	53	53	66.46241	56.101941	76.0	53	2448.0	2431.0	2460.0
MHV-mut	bc11	sgRNA7_N	A_junction_like	1983	1983	54.667272	42.0	67.0	1983	1757.0	1743.0	1765.0
MHV-mut	bc11	sgRNA7_N	terminal_junction_nonA_like	318	318	55.0	42.23632775	66.98045925	318	1757.0	1738.0	1766.0
MHV-wt	bc05	sgRNA2_ORF2a_HE	A_junction_like	1	1	71.0	71.0	71.0	1	9649.0	9649.0	9649.0
MHV-wt	bc05	sgRNA3_S	A_junction_like	3	3	95.0	70.0	97.5	3	7455.0	7451.0	7725.0
MHV-wt	bc05	sgRNA4_ORF4	A_junction_like	83	83	68.0	60.0	75.0	83	3466.0	3447.0	3485.0
MHV-wt	bc05	sgRNA4_ORF4	terminal_junction_nonA_like	10	10	80.0	55.0	95.0	10	3479.0	3460.0	3491.5
MHV-wt	bc05	sgRNA5_ORF5_E	A_junction_like	56	56	63.1366805	54.75	76.5	56	3089.0	3067.0	3104.0
MHV-wt	bc05	sgRNA5_ORF5_E	terminal_junction_nonA_like	3	3	49.825876	25.912938	61.412938	3	2979.0	2976.5	3029.0
MHV-wt	bc05	sgRNA6_M	A_junction_like	168	168	63.5	53.0	72.25	168	2453.0	2440.75	2462.0
