sample_group	mapping_barcode	boundary_method	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	bc07	cnn	14098	14061	0.9973755142573415	2441	11620	0.17360073963444989	0.16742958296199428	0.17995019185633915	0.17314512696836432	2.6141357421875
MHV-mut	bc07	fallback	3186	0	0.0	0	0				0.0	
MHV-mut	bc11	cnn	36679	36569	0.9970010087516017	5722	30847	0.15647132817413656	0.15278386741966135	0.160230954568136	0.15600207203031707	2.6249771118164062
MHV-mut	bc11	fallback	7350	0	0.0	0	0				0.0	
MHV-wt	bc05	cnn	9393	9370	0.9975513680400299	1201	8169	0.12817502668089648	0.12155853995294827	0.13509626580513504	0.1278611732140956	2.3809280395507812
MHV-wt	bc05	fallback	2012	0	0.0	0	0				0.0	
MHV-wt	bc06	cnn	9821	9799	0.99775990225028	1415	8384	0.1444024900500051	0.13758228694349922	0.15150139055194523	0.1440790143569901	2.277862548828125
MHV-wt	bc06	fallback	2361	0	0.0	0	0				0.0	
mock	bc04	cnn	1277	1270	0.9945184025058731	183	1087	0.14409448818897638	0.12585260505336657	0.16448294358161705	0.14330462020360218	2.4568099975585938
mock	bc04	fallback	229	0	0.0	0	0				0.0	
