sample_group	mapping_barcode	sgrna_primary_assignment	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	bc07	gRNA_ORF1ab	12	8	0.6666666666666666	1	7	0.125	0.02241749145005667	0.4708881822128535	0.08333333333333333	3.8127098083496094
MHV-mut	bc07	sgRNA2_ORF2a_HE	1	0	0.0	0	0				0.0	
MHV-mut	bc07	sgRNA3_S	5	2	0.4	0	2	0.0	0.0	0.6576197724933469	0.0	4.170650482177734
MHV-mut	bc07	sgRNA4_ORF4	313	245	0.7827476038338658	38	207	0.15510204081632653	0.11513458054072692	0.20571813909480977	0.12140575079872204	2.608673095703125
MHV-mut	bc07	sgRNA5_ORF5_E	146	110	0.7534246575342466	15	95	0.13636363636363635	0.08441156444990071	0.21285675213058225	0.10273972602739725	2.6927566528320312
MHV-mut	bc07	sgRNA6_M	541	393	0.7264325323475046	61	332	0.15521628498727735	0.12277069077367658	0.19433695013325142	0.11275415896487985	2.6358184814453125
MHV-mut	bc07	sgRNA7_N	2269	1686	0.743058616130454	281	1405	0.16666666666666666	0.14963944074028207	0.18520940313622175	0.12384310268840899	2.624958038330078
MHV-mut	bc11	gRNA_ORF1ab	21	13	0.6190476190476191	0	13	0.0	0.0	0.22809537235419838	0.0	2.3429336547851562
MHV-mut	bc11	sgRNA3_S	11	8	0.7272727272727273	0	8	0.0	0.0	0.32440756488388023	0.0	1.9795646667480469
MHV-mut	bc11	sgRNA4_ORF4	240	183	0.7625	35	148	0.1912568306010929	0.1408554438665899	0.25435373126384764	0.14583333333333334	2.63580322265625
MHV-mut	bc11	sgRNA5_ORF5_E	144	104	0.7222222222222222	14	90	0.1346153846153846	0.08191117076579206	0.21335058819869201	0.09722222222222222	2.220916748046875
MHV-mut	bc11	sgRNA6_M	544	420	0.7720588235294118	53	367	0.1261904761904762	0.09778427538461984	0.16137267241921097	0.0974264705882353	2.5164756774902344
MHV-mut	bc11	sgRNA7_N	3087	2301	0.7453838678328474	318	1983	0.13820078226857888	0.12470170691816612	0.1529058727146987	0.10301263362487852	2.5653228759765625
MHV-wt	bc05	gRNA_ORF1ab	4	2	0.5	0	2	0.0	0.0	0.6576197724933469	0.0	0.66436767578125
MHV-wt	bc05	sgRNA2_ORF2a_HE	1	1	1.0	0	1	0.0	0.0	0.7934506856227626	0.0	2.3320693969726562
MHV-wt	bc05	sgRNA3_S	5	3	0.6	0	3	0.0	5.551115123125783e-17	0.5614970317550454	0.0	1.8494186401367188
MHV-wt	bc05	sgRNA4_ORF4	127	93	0.7322834645669292	10	83	0.10752688172043011	0.059463070231909915	0.18672755009773168	0.07874015748031496	2.1151351928710938
MHV-wt	bc05	sgRNA5_ORF5_E	74	59	0.7972972972972973	3	56	0.05084745762711865	0.01744271747299006	0.139165022152769	0.04054054054054054	2.00665283203125
MHV-wt	bc05	sgRNA6_M	239	192	0.803347280334728	24	168	0.125	0.08545671788882409	0.1792546416612415	0.100418410041841	2.2452964782714844
MHV-wt	bc05	sgRNA7_N	1327	993	0.7483044461190655	103	890	0.10372608257804633	0.08626390448886868	0.12424244731249552	0.07761868877166542	2.332061767578125
MHV-wt	bc06	gRNA_ORF1ab	15	13	0.8666666666666667	4	9	0.3076923076923077	0.12680703655710515	0.5763065681945096	0.26666666666666666	2.2344512939453125
MHV-wt	bc06	sgRNA2_ORF2a_HE	1	1	1.0	0	1	0.0	0.0	0.7934506856227626	0.0	1.3775863647460938
MHV-wt	bc06	sgRNA3_S	9	7	0.7777777777777778	2	5	0.2857142857142857	0.08221892400405678	0.6410655481673808	0.2222222222222222	3.2811660766601562
MHV-wt	bc06	sgRNA4_ORF4	312	237	0.7596153846153846	29	208	0.12236286919831224	0.08656314390683059	0.17020933672631047	0.09294871794871795	2.4622573852539062
MHV-wt	bc06	sgRNA5_ORF5_E	131	91	0.6946564885496184	10	81	0.10989010989010989	0.06079473021268493	0.19058751461094692	0.07633587786259542	2.012115478515625
MHV-wt	bc06	sgRNA6_M	518	383	0.7393822393822393	51	332	0.13315926892950392	0.10275059595692483	0.1708536323575821	0.09845559845559845	2.30499267578125
MHV-wt	bc06	sgRNA7_N	2414	1795	0.7435791217895609	241	1554	0.13426183844011141	0.11926842915307385	0.15081732878759965	0.09983429991714995	2.1531219482421875
mock	bc04	sgRNA4_ORF4	18	14	0.7777777777777778	2	12	0.14285714285714285	0.040093921271464966	0.39941379496970353	0.1111111111111111	1.3613052368164062
mock	bc04	sgRNA5_ORF5_E	3	3	1.0	0	3	0.0	5.551115123125783e-17	0.5614970317550454	0.0	2.5598907470703125
mock	bc04	sgRNA6_M	25	21	0.84	1	20	0.047619047619047616	0.008455987809826399	0.22669360074122563	0.04	1.6975173950195312
mock	bc04	sgRNA7_N	112	89	0.7946428571428571	16	73	0.1797752808988764	0.11379892749560451	0.2722512194534561	0.14285714285714285	2.8581466674804688
