sample_group	sgrna_primary_assignment	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	gRNA_ORF1ab	33	21	0.6363636363636364	1	20	0.047619047619047616	0.008455987809826399	0.22669360074122563	0.030303030303030304	2.7551345825195312
MHV-mut	sgRNA2_ORF2a_HE	1	0	0.0	0	0				0.0	
MHV-mut	sgRNA3_S	16	10	0.625	0	10	0.0	0.0	0.2775327998628892	0.0	2.633087158203125
MHV-mut	sgRNA4_ORF4	553	428	0.7739602169981917	73	355	0.1705607476635514	0.13789582465164413	0.20908674443723557	0.13200723327305605	2.6195106506347656
MHV-mut	sgRNA5_ORF5_E	290	214	0.7379310344827587	29	185	0.13551401869158877	0.09603765449856622	0.18784521681288602	0.1	2.4812355041503906
MHV-mut	sgRNA6_M	1085	813	0.7493087557603687	114	699	0.14022140221402213	0.11804222607150769	0.16578452674220553	0.10506912442396313	2.5653152465820312
MHV-mut	sgRNA7_N	5356	3987	0.7443988050784167	599	3388	0.15023827439177326	0.13948434706144608	0.16166554105659553	0.11183719193427931	2.5870132446289062
MHV-wt	gRNA_ORF1ab	19	15	0.7894736842105263	4	11	0.26666666666666666	0.10897453325692374	0.5195043405598057	0.21052631578947367	1.6378860473632812
MHV-wt	sgRNA2_ORF2a_HE	2	2	1.0	0	2	0.0	0.0	0.6576197724933469	0.0	1.854827880859375
MHV-wt	sgRNA3_S	14	10	0.7142857142857143	2	8	0.2	0.05668215145437519	0.5098375284633583	0.14285714285714285	2.6113739013671875
MHV-wt	sgRNA4_ORF4	439	330	0.7517084282460137	39	291	0.11818181818181818	0.08766851176022424	0.1574821627839194	0.0888382687927107	2.3998794555664062
MHV-wt	sgRNA5_ORF5_E	205	150	0.7317073170731707	13	137	0.08666666666666667	0.051347178274724174	0.14262822373621914	0.06341463414634146	2.0093841552734375
MHV-wt	sgRNA6_M	757	575	0.7595772787318362	75	500	0.13043478260869565	0.10534227976229876	0.1604324958284543	0.09907529722589167	2.2886810302734375
MHV-wt	sgRNA7_N	3741	2788	0.7452552793370757	344	2444	0.12338593974175036	0.11169370760537603	0.13611458273820812	0.09195402298850575	2.20733642578125
mock	sgRNA4_ORF4	18	14	0.7777777777777778	2	12	0.14285714285714285	0.040093921271464966	0.39941379496970353	0.1111111111111111	1.3613052368164062
mock	sgRNA5_ORF5_E	3	3	1.0	0	3	0.0	5.551115123125783e-17	0.5614970317550454	0.0	2.5598907470703125
mock	sgRNA6_M	25	21	0.84	1	20	0.047619047619047616	0.008455987809826399	0.22669360074122563	0.04	1.6975173950195312
mock	sgRNA7_N	112	89	0.7946428571428571	16	73	0.1797752808988764	0.11379892749560451	0.2722512194534561	0.14285714285714285	2.8581466674804688
