sample_group	sgrna_primary_assignment	terminal_nona_direct_class	n_reads	polya_nt_n	polya_nt_median	polya_nt_q25	polya_nt_q75	read_nt_n	read_nt_median	read_nt_q25	read_nt_q75
MHV-mut	gRNA_ORF1ab	A_junction_like	20	20	66.228298	55.2552385	72.0	20	11268.5	10783.5	13596.5
MHV-mut	gRNA_ORF1ab	terminal_junction_nonA_like	1	1	56.632837	56.632837	56.632837	1	12329.0	12329.0	12329.0
MHV-mut	sgRNA3_S	A_junction_like	10	10	68.832251	65.0	78.75	10	7456.0	7394.75	7484.25
MHV-mut	sgRNA4_ORF4	A_junction_like	355	355	59.782467	50.0	69.0	355	3444.0	3381.0	3471.0
MHV-mut	sgRNA4_ORF4	terminal_junction_nonA_like	73	73	58.0	49.590886	68.576628	73	3445.0	3383.0	3468.0
MHV-mut	sgRNA5_ORF5_E	A_junction_like	185	185	58.607208	48.707535	69.13769	185	3066.0	2999.0	3092.0
MHV-mut	sgRNA5_ORF5_E	terminal_junction_nonA_like	29	29	54.230438	45.0	68.155341	29	3069.0	2993.0	3097.0
MHV-mut	sgRNA6_M	A_junction_like	699	699	57.400929	47.0	69.0	699	2432.0	2366.0	2456.5
MHV-mut	sgRNA6_M	terminal_junction_nonA_like	114	114	57.3525275	43.0319675	72.0	114	2423.5	2360.0	2451.0
MHV-mut	sgRNA7_N	A_junction_like	3388	3388	51.0	39.25420925	64.0	3388	1746.0	1672.0	1761.0
MHV-mut	sgRNA7_N	terminal_junction_nonA_like	599	599	50.864652	38.592828999999995	62.0	599	1735.0	1666.0	1760.0
MHV-wt	gRNA_ORF1ab	A_junction_like	11	11	74.0	71.5	87.5	11	11158.0	10172.0	12484.0
MHV-wt	gRNA_ORF1ab	terminal_junction_nonA_like	4	4	69.0	61.0	75.5	4	11657.0	10458.0	12904.75
MHV-wt	sgRNA2_ORF2a_HE	A_junction_like	2	2	80.5	75.75	85.25	2	9631.5	9622.75	9640.25
MHV-wt	sgRNA3_S	A_junction_like	8	8	77.0	65.25	88.25	8	7463.5	7453.0	7486.75
MHV-wt	sgRNA3_S	terminal_junction_nonA_like	2	2	51.5	49.75	53.25	2	7477.5	7474.25	7480.75
MHV-wt	sgRNA4_ORF4	A_junction_like	291	291	67.0	59.0	76.0	291	3472.0	3460.0	3486.0
MHV-wt	sgRNA4_ORF4	terminal_junction_nonA_like	39	39	68.0	57.0	80.0	39	3475.0	3462.5	3486.0
MHV-wt	sgRNA5_ORF5_E	A_junction_like	137	137	63.0	54.0	73.0	137	3088.0	3071.0	3099.0
MHV-wt	sgRNA5_ORF5_E	terminal_junction_nonA_like	13	13	69.0	50.0	73.0	13	3079.0	3065.0	3095.0
MHV-wt	sgRNA6_M	A_junction_like	500	500	65.0	54.0	74.0	500	2453.0	2442.0	2463.25
MHV-wt	sgRNA6_M	terminal_junction_nonA_like	75	75	65.0	54.0	74.0	75	2454.0	2443.5	2465.5
MHV-wt	sgRNA7_N	A_junction_like	2444	2444	57.0	44.0	69.0	2444	1759.0	1750.0	1768.0
MHV-wt	sgRNA7_N	terminal_junction_nonA_like	344	344	57.0	44.0	72.0	344	1759.0	1750.0	1769.0
mock	sgRNA4_ORF4	A_junction_like	12	12	67.0	52.24946575	77.75	12	3471.0	3441.25	3484.75
mock	sgRNA4_ORF4	terminal_junction_nonA_like	2	2	60.882901000000004	53.8243515	67.9414505	2	3448.5	3427.75	3469.25
mock	sgRNA5_ORF5_E	A_junction_like	3	3	41.444705	40.7223525	45.2223525	3	3095.0	3065.0	3207.0
mock	sgRNA6_M	A_junction_like	20	20	59.5	50.0	75.25	20	2447.5	2423.25	2455.25
mock	sgRNA6_M	terminal_junction_nonA_like	1	1	55.0	55.0	55.0	1	2429.0	2429.0	2429.0
mock	sgRNA7_N	A_junction_like	73	73	50.0	40.348353	69.0	73	1746.0	1725.0	1763.0
mock	sgRNA7_N	terminal_junction_nonA_like	16	16	49.461351	40.3739695	70.90985599999999	16	1753.0	1726.5	1771.0
